Year,25%_Emissions_GtC,25%_CO2_ppm,25%_Temp_C,25%_Forcing_Wm2,50%_Emissions_GtC,50%_CO2_ppm,50%_Temp_C,50%_Forcing_Wm2,75%_Emissions_GtC,75%_CO2_ppm,75%_Temp_C,75%_Forcing_Wm2,100%_Emissions_GtC,100%_CO2_ppm,100%_Temp_C,100%_Forcing_Wm2
2100,2.675,317.8937995926195,1.0791221147229582,0.6790635175379205,5.35,323.3727900571446,1.1007801218719104,0.7704866877590609,8.024999999999999,328.85178052166947,1.1221664058166385,0.8603737905931301,10.7,334.3307709861945,1.1432882730112892,0.9487755914457713
2101,2.675,317.2900036007671,1.0737543443195596,0.6688922584058343,5.35,322.8134942560017,1.0959444191254166,0.7612254782411156,8.024999999999999,328.3369849112361,1.11785278629042,0.8519921589402311,10.7,333.86047556647065,1.1394871030204397,0.9412445711758197
2102,2.675,316.69828352875174,1.068359278942459,0.6589056281517179,5.35,322.2653843708817,1.091083358006615,0.7521339122691607,8.024999999999999,327.83248521301135,1.1135155995113148,0.8437654003352201,10.7,333.39958605514124,1.1356640201395451,0.933853871748216
2103,2.675,316.1183978581767,1.0629386640801,0.649100611004744,5.35,321.72823668346405,1.0861985446672233,0.7432091630165087,8.024999999999999,327.3380755087511,1.1091563155555042,0.8356908848473066,10.7,332.94791433403844,1.1318203615644065,0.9266010672383401
2104,2.675,315.5501099010132,1.05749420361491,0.6394742283253682,5.35,321.2018319497948,1.0812915465762079,0.7344484405310066,8.024999999999999,326.8535539985761,1.1047763687676841,0.8277660186873087,10.7,332.50527604735765,1.1279574317326233,0.9194837666761729
2105,2.675,314.9931877029929,1.0520275605403266,0.6300235385931174,5.35,320.6859553107989,1.076363893204756,0.7258489916315863,8.024999999999999,326.3787229186046,1.100377158409958,0.8199882440272576,10.7,332.0714905264105,1.1240765029326236,0.9124996138036102
2106,2.675,314.447403948933,1.0465403576703964,0.6207456373750061,5.35,320.1803962045829,1.0714170767034306,0.7174080997890823,8.024999999999999,325.9133884602325,1.095960049302678,0.8123550388077414,10.7,331.6463807158823,1.120178815904563,0.9056462868227497
2107,2.675,313.91253586995435,1.0410341783418706,0.6116376572753063,5.35,319.68494828049126,1.066452552571466,0.709123084991954,8.024999999999999,325.4573606910279,1.0915263724572206,0.8048639165335666,10.7,331.22977310156466,1.1162655804331039,0.8989214981356808
2108,2.675,313.38836515255525,1.0355105671087281,0.602696767867393,5.35,319.19940931488145,1.0614717403181644,0.7009913035976074,8.024999999999999,325.0104534772073,1.087077425700689,0.7975124260583317,10.7,330.8214976395334,1.112337975932094,0.8923229940762792
2109,2.675,312.87467784950417,1.0299710304290601,0.5939201756083868,5.35,318.7235811285838,1.0564760241163607,0.6930101481699393,8.024999999999999,324.5724844076632,1.0826144742925348,0.7902981513584938,10.7,330.4213876867427,1.1083971520211608,0.8858485546345023
